stack_number	stack_name
1	(Intercept)
2	sum_som_9m_sqrt
3	AgeChildBrainMRIF9
4	GENDER
5	ethCaribbean
6	ethDutch
7	ethIndonesian
8	ethNon Dutch Western
9	ethNon Western: Morrocan or Turkish
10	ethNon Western: American or Asian
11	eduHigher education: Yes
12	INCOME5Medium (up to EUR 3200/month)
13	INCOME5High (more than EUR 3200/month)
14	bmichild9
15	F0300178
